ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,SK-22F02 G10 Bar,SW1,SK-22F02 G10 BAR,1,,,Ali-Express,,
2,HEADER_2.54_1X3,U5,HEADER_2.54_1X3,1,,,,,
